Status,Application Creation Date,Approved / Refused Date,Recorded / Rejected Date,Water Share ID,Water System Source,Reliability,Trading Zone Source,Seller Water Authority,Seller Trading Zone Use,Buyer Water Authority,Buyer Trading Zone Use,Volume Traded (ML),Price Per ML ($),Create_date,Create_date_ordinal,Cluster
Recorded,29/09/2022,05/10/2022,09/11/2022,WEE****53,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,30.0,7700.0,2022-09-29,738427,0
Recorded,02/06/2011,06/06/2011,21/06/2011,WEE****31,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,7.0,2000.0,2011-06-02,734290,0
Recorded,21/03/2014,14/04/2014,09/05/2014,WEE****90,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,82.3,1410.0,2014-03-21,735313,0
Recorded,17/04/2023,20/04/2023,16/06/2023,WEE****85,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,10.0,7700.0,2023-04-17,738627,0
Recorded,23/10/2015,29/10/2015,25/11/2015,WEE****10,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,1.0,2500.0,2015-10-23,735894,0
Recorded,13/09/2021,19/09/2021,30/09/2021,WEE****74,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,3.0,6100.0,2021-09-13,738046,0
Recorded,08/11/2012,12/11/2012,17/12/2012,WEE****52,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,71.0,1850.0,2012-11-08,734815,0
Recorded,01/12/2015,02/12/2015,23/12/2015,WEE****55,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,10.0,1103.45,2015-12-01,735933,0
Recorded,08/07/2011,27/07/2011,31/08/2011,WEE****10,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,139.9,1685.0,2011-07-08,734326,0
Recorded,11/11/2013,12/11/2013,17/12/2013,WEE****02,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,1.5,2000.0,2013-11-11,735183,0
Recorded,25/08/2010,25/08/2010,11/10/2010,WEE****41,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,14.8,2400.0,2010-08-25,734009,0
Recorded,08/01/2021,14/01/2021,20/01/2021,WEE****15,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,20.0,6200.0,2021-01-08,737798,0
Recorded,18/03/2019,20/03/2019,16/04/2019,WEE****71,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,16.0,5300.0,2019-03-18,737136,0
Recorded,22/09/2010,29/09/2010,18/10/2010,WEE****50,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,64.4,2200.0,2010-09-22,734037,0
