Status,Application Creation Date,Approved / Refused Date,Recorded / Rejected Date,Water Share ID,Water System Source,Reliability,Trading Zone Source,Seller Water Authority,Seller Trading Zone Use,Buyer Water Authority,Buyer Trading Zone Use,Volume Traded (ML),Price Per ML ($),Create_date,Create_date_ordinal,Cluster
Recorded,2009-10-06,18/06/2009,17/08/2009,WEE****12,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,518.0,0.0,2009-10-06,733686,1
Recorded,2017-05-17,25/05/2017,16/06/2017,WEE****57,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,100.0,2925.0,2017-05-17,736466,0
Recorded,2020-05-27,10/06/2020,27/06/2020,WEE****28,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,55.0,6275.0,2020-05-27,737572,0
Recorded,2012-11-07,27/07/2012,14/09/2012,WEE****70,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,32.0,1475.0,2012-11-07,734814,0
Recorded,2014-09-12,14/12/2014,15/01/2015,WEE****89,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,1000.0,1800.0,2014-09-12,735488,0
Recorded,2015-09-30,26/10/2015,13/11/2015,WEE****61,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,12.0,1550.0,2015-09-30,735871,0
Recorded,2009-07-17,30/07/2009,17/09/2009,WEE****53,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,48.6,0.0,2009-07-17,733605,1
Recorded,2017-03-01,03/01/2017,03/03/2017,WEE****13,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,133.1,2850.0,2017-03-01,736389,0
Recorded,2019-10-30,31/10/2019,26/11/2019,WEE****02,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,2.2,0.0,2019-10-30,737362,1
Recorded,2014-11-19,19/11/2014,07/01/2015,WEE****36,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,2.0,1500.0,2014-11-19,735556,0
Recorded,2023-05-30,06/06/2023,16/06/2023,WEE****24,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,16.6,7425.0,2023-05-30,738670,0
Recorded,2010-12-13,13/12/2010,12/01/2011,WEE****40,Murray,Low,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,69.1,100.0,2010-12-13,734119,1
