Status,Application Creation Date,Approved / Refused Date,Recorded / Rejected Date,Water Share ID,Water System Source,Reliability,Trading Zone Source,Seller Water Authority,Seller Trading Zone Use,Buyer Water Authority,Buyer Trading Zone Use,Volume Traded (ML),Price Per ML ($),Create_date,Create_date_ordinal,Cluster
Recorded,2010-08-07,23/07/2010,03/09/2010,WEE****47,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,40.0,2400.0,2010-08-07,733991,0
Recorded,2017-01-16,24/01/2017,24/03/2017,WEE****72,Goulburn,Low,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,75.4,200.0,2017-01-16,736345,1
Recorded,2016-05-20,02/06/2016,27/06/2016,WEE****56,Goulburn,Low,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,143.5,215.0,2016-05-20,736104,1
Recorded,2011-12-05,20/05/2011,08/06/2011,WEE****95,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,10.0,2000.0,2011-12-05,734476,0
Recorded,2017-08-18,24/08/2017,20/09/2017,WEE****85,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,10.0,2500.0,2017-08-18,736559,0
Recorded,2010-07-27,27/07/2010,03/09/2010,WEE****76,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,60.0,2075.0,2010-07-27,733980,0
Recorded,2023-07-14,15/08/2023,01/09/2023,WEE****12,Goulburn,Low,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,0.8,100.0,2023-07-14,738715,1
Recorded,2014-10-29,04/11/2014,18/12/2014,WEE****89,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,2.0,1500.0,2014-10-29,735535,0
Recorded,2011-04-02,07/02/2011,08/03/2011,WEE****92,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,12.3,0.0,2011-04-02,734229,1
Recorded,2023-07-12,15/12/2023,22/12/2023,WEE****22,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,1.0,4500.0,2023-07-12,738713,0
Recorded,2017-10-20,27/10/2017,14/11/2017,WEE****45,Goulburn,Low,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,14.4,0.0,2017-10-20,736622,1
Recorded,2022-11-15,21/11/2022,14/12/2022,WEE****10,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,2.0,4000.0,2022-11-15,738474,0
Recorded,2014-10-17,29/10/2014,18/12/2014,WEE****99,Goulburn,Low,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,48.0,100.0,2014-10-17,735523,1
Recorded,2023-11-28,07/12/2023,20/12/2023,WEE****46,Goulburn,Low,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,27.4,900.0,2023-11-28,738852,1
Recorded,2019-03-20,02/04/2019,15/04/2019,WEE****96,Goulburn,Low,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,31.2,600.0,2019-03-20,737138,1
