"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2024","7,698.70","7,680.70","7,703.80","7,489.40","19.21B","0.23%"
"01/01/2024","7,680.70","7,590.80","7,682.30","7,322.00","12.31B","1.18%"
"01/12/2023","7,590.80","7,087.30","7,614.30","7,041.10","14.36B","7.10%"
"01/11/2023","7,087.30","6,780.70","7,125.60","6,780.70","14.73B","4.52%"
"01/10/2023","6,780.70","7,048.60","7,112.70","6,751.30","15.75B","-3.80%"
"01/09/2023","7,048.60","7,305.30","7,340.90","6,957.20","15.68B","-3.51%"
"01/08/2023","7,305.30","7,410.40","7,470.10","7,090.00","16.23B","-1.42%"
"01/07/2023","7,410.40","7,203.30","7,472.30","6,998.10","12.50B","2.88%"
"01/06/2023","7,203.30","7,091.30","7,368.40","7,054.80","14.95B","1.58%"
"01/05/2023","7,091.30","7,309.20","7,368.00","7,091.30","15.28B","-3.11%"
"01/04/2023","7,318.70","7,177.80","7,391.20","7,177.80","2.14B","1.96%"
"01/03/2023","7,177.80","7,258.40","7,370.30","6,895.00","18.10B","-1.11%"
"01/02/2023","7,258.40","7,476.70","7,567.70","7,193.40","14.25B","-2.92%"
"01/01/2023","7,476.70","7,038.70","7,516.80","6,905.30","11.92B","6.22%"
"01/12/2022","7,038.70","7,284.20","7,375.20","6,993.80","13.71B","-3.37%"
"01/11/2022","7,284.20","6,863.50","7,293.70","6,823.00","17.36B","6.13%"
"01/10/2022","6,863.50","6,474.20","6,873.80","6,411.90","16.45B","6.01%"
"01/09/2022","6,474.20","6,986.80","7,015.20","6,433.10","18.13B","-7.34%"
"01/08/2022","6,986.80","6,945.20","7,137.50","6,918.20","16.23B","0.60%"
"01/07/2022","6,945.20","6,568.10","6,973.60","6,537.20","14.07B","5.74%"
"01/06/2022","6,568.10","7,211.20","7,254.60","6,407.00","18.29B","-8.92%"
"01/05/2022","7,211.20","7,435.00","7,435.00","6,930.20","15.92B","-3.01%"
"01/04/2022","7,435.00","7,499.60","7,624.80","7,233.30","12.02B","-0.86%"
"01/03/2022","7,499.60","7,049.10","7,556.60","6,968.90","18.82B","6.39%"
"01/02/2022","7,049.10","6,971.60","7,356.80","6,945.70","15.93B","1.11%"
"01/01/2022","6,971.60","7,444.60","7,620.20","6,758.20","14.03B","-6.35%"
"01/12/2021","7,444.60","7,256.00","7,520.60","7,168.90","11.90B","2.60%"
"01/11/2021","7,256.00","7,323.70","7,479.10","7,180.30","13.54B","-0.92%"
"01/10/2021","7,323.70","7,332.20","7,473.90","7,157.90","13.28B","-0.12%"
"01/09/2021","7,332.20","7,534.90","7,539.00","7,145.70","16.50B","-2.69%"
"01/08/2021","7,534.90","7,415.90","7,632.80","7,414.90","14.00B","1.92%"
"01/07/2021","7,392.60","7,313.00","7,447.90","7,205.00","12.60B","1.09%"
"01/06/2021","7,313.00","7,161.60","7,406.20","7,117.50","13.07B","2.11%"
"01/05/2021","7,161.60","7,025.80","7,203.30","6,917.30","12.44B","1.93%"
"01/04/2021","7,025.80","6,790.70","7,096.90","6,783.30","11.14B","3.46%"
"01/03/2021","6,790.70","6,673.30","6,862.60","6,648.60","14.60B","1.76%"
"01/02/2021","6,673.30","6,607.40","6,938.00","6,517.20","12.93B","1.00%"
