,date,mean_price,IQR_price,mean_volume,IQR_volume
0,2009-04-30,2200.0,0.0,181.33333333333334,72.0
1,2009-05-31,1880.909090909091,755.0,110.37272727272726,117.35000000000001
2,2009-06-30,2060.4166666666665,225.0,117.75,183.2
3,2009-07-31,2151.4912280701756,25.0,202.84561403508772,225.0
4,2009-08-31,2029.4064705882356,400.0,109.7235294117647,193.6
5,2009-09-30,2122.094285714286,150.0,218.58571428571432,155.175
6,2009-10-31,2167.3777777777777,0.0,175.94444444444446,150.0
7,2009-11-30,2049.4976470588235,200.0,80.18823529411765,92.0
8,2009-12-31,2053.6878947368423,200.0,121.17894736842106,114.15
9,2010-01-31,2113.5766666666664,162.625,104.77222222222223,151.675
10,2010-02-28,2037.7964285714286,200.0,43.84285714285714,50.0
11,2010-03-31,1863.6363636363637,385.0,60.90909090909091,100.5
12,2010-04-30,1944.75,600.0,122.6125,129.2
13,2010-05-31,1641.587142857143,172.5,33.32857142857143,36.4
14,2010-06-30,2058.3333333333335,200.0,121.875,199.625
15,2010-07-31,2018.0533333333333,512.5,167.84166666666667,146.32500000000002
16,2010-08-31,1861.111111111111,600.0,149.48333333333335,121.19999999999999
17,2010-09-30,1824.848181818182,413.33500000000004,19.3,19.25
18,2010-10-31,1900.0,200.0,41.63333333333333,22.3
19,2010-11-30,1500.6928571428573,250.0,111.07142857142857,120.20000000000002
20,2010-12-31,1813.3474999999999,620.3499999999999,49.62,73.575
21,2011-01-31,1701.28,450.0,145.29000000000002,214.6
22,2011-02-28,1627.6666666666667,450.0,79.06666666666666,99.8
23,2011-03-31,1697.3018181818181,450.0,75.65454545454546,86.0
24,2011-04-30,1578.0493333333332,425.0,94.05333333333333,120.69999999999999
25,2011-05-31,1589.2857142857142,262.5,34.52142857142857,36.6
26,2011-06-30,1704.6938095238095,200.0,127.98571428571428,91.1
27,2011-07-31,1687.3694736842106,71.94000000000005,146.04473684210527,137.675
28,2011-08-31,1637.0833333333333,106.25,141.95000000000002,97.30000000000001
29,2011-09-30,1598.4615384615386,190.0,42.95384615384615,43.9
30,2011-10-31,1585.2,179.0,59.870000000000005,83.80000000000001
31,2011-11-30,1665.5816666666667,507.2825,77.9388888888889,122.325
32,2011-12-31,1705.0,100.0,164.2,114.5
33,2012-01-31,1679.025641025641,100.0,120.54358974358973,116.60000000000001
34,2012-02-29,1660.167,161.25,140.13,85.725
35,2012-03-31,1584.1716000000001,500.0,32.404,40.8
36,2012-04-30,1641.6666666666667,37.5,17.683333333333334,16.5
37,2012-05-31,1717.9520000000002,150.0,91.87200000000001,136.0
38,2012-06-30,1669.7995744680852,260.2049999999999,99.66595744680852,92.0
39,2012-07-31,1667.0066666666667,200.0,58.62857142857143,68.0
40,2012-08-31,1616.6666666666667,162.5,48.36666666666667,36.15
41,2012-09-30,1551.0060869565218,575.0,145.22608695652173,151.5
42,2012-10-31,1408.75,512.5,61.89375,43.5
43,2012-11-30,1392.857142857143,390.0,125.07619047619048,160.0
44,2012-12-31,1451.6666666666667,575.0,57.48333333333333,89.3
45,2013-01-31,1568.7536363636364,662.5,76.42727272727274,99.1
46,2013-02-28,1347.5,100.0,72.56,130.0
47,2013-03-31,1287.5,192.5,212.6,192.47500000000002
48,2013-04-30,1458.3333333333333,600.0,46.65,51.25
49,2013-05-31,1376.388888888889,400.0,69.66666666666667,96.0
50,2013-06-30,1372.5,400.0,101.19444444444444,137.925
51,2013-07-31,1407.5,693.75,64.51,138.325
52,2013-08-31,1223.3333333333333,140.0,167.61111111111111,163.5
53,2013-09-30,1262.2941176470588,400.0,92.41764705882352,89.6
54,2013-10-31,1265.5555555555557,300.0,54.53888888888889,78.6
55,2013-11-30,1183.0557142857142,100.0,95.37142857142857,87.4
56,2013-12-31,1197.5,150.0,55.475,88.875
57,2014-01-31,1402.3809523809523,300.0,85.3952380952381,52.0
58,2014-02-28,1402.05375,212.5,180.95624999999998,192.225
59,2014-03-31,1367.2969230769231,229.15249999999992,46.715384615384615,70.0
60,2014-04-30,1373.9439285714286,173.61250000000018,85.44285714285715,84.675
61,2014-05-31,1276.1355555555556,177.5,117.21666666666667,162.49999999999997
62,2014-06-30,1318.0122222222224,237.1099999999999,47.900000000000006,95.0
63,2014-07-31,1346.1366666666665,207.1400000000001,84.13333333333333,124.9
64,2014-08-31,1322.7108333333333,193.5875000000001,144.81666666666666,211.7
65,2014-09-30,1411.24625,95.82999999999993,181.1125,69.95
66,2014-10-31,1374.742,121.0,58.48,81.5
67,2014-11-30,1400.2224137931034,150.0,52.58965517241379,46.9
68,2014-12-31,1405.2380952380952,210.0,119.23333333333333,110.6
69,2015-01-31,1288.157894736842,37.5,117.5578947368421,171.65
70,2015-02-28,1514.2105263157894,235.0,84.23157894736842,114.1
71,2015-03-31,1507.5,331.25,36.260000000000005,52.45
72,2015-04-30,1530.0,262.5,50.4,56.0
73,2015-05-31,1663.3368421052633,300.0,79.47368421052632,91.1
74,2015-06-30,1856.85,302.25,82.965,91.875
75,2015-07-31,1873.3333333333333,200.0,101.11904761904762,129.5
76,2015-08-31,1988.888888888889,400.0,99.45555555555555,104.35
77,2015-09-30,1817.857142857143,412.5,38.42857142857143,80.525
78,2015-10-31,2120.4166666666665,420.0,35.425000000000004,49.725
79,2015-11-30,2147.1833333333334,387.5,50.050000000000004,95.75
80,2015-12-31,2157.7746153846156,800.0,72.26923076923077,100.0
81,2016-01-31,2592.3529411764707,100.0,94.78235294117647,137.7
82,2016-02-29,2506.835,792.5,81.78461538461539,85.25
