,date,mean,IQR
0,2008-12-31,2400.0,0.0
1,2009-04-30,2300.0,0.0
2,2009-05-31,2289.615714285714,143.5
3,2009-06-30,2245.1848,250.0
4,2009-07-31,2311.634671532847,100.0
5,2009-08-31,2318.7347727272727,100.0
6,2009-09-30,2307.0067532467533,200.0
7,2009-10-31,2213.0639215686274,400.0
8,2009-11-30,1990.1335714285715,475.0
9,2009-12-31,2232.5687179487177,399.96000000000004
10,2010-01-31,2130.874285714286,600.0
11,2010-02-28,2009.3783783783783,400.0
12,2010-03-31,2077.058529411765,518.75
13,2010-04-30,2074.5833333333335,200.0
14,2010-05-31,1952.845,325.0
15,2010-06-30,2060.0741237113402,429.0
16,2010-07-31,1962.1066666666668,200.0
17,2010-08-31,1976.55,162.5
18,2010-09-30,1903.6896774193547,400.0
19,2010-10-31,1801.1836842105263,400.0
20,2010-11-30,1718.072244897959,450.0
21,2010-12-31,1784.20125,500.0
22,2011-01-31,1823.0085106382978,435.0
23,2011-02-28,1778.8259375,500.0
24,2011-03-31,1854.5895238095236,400.0
25,2011-04-30,1679.973829787234,445.365
26,2011-05-31,1789.5185106382978,400.0
27,2011-06-30,1888.603188405797,250.0
28,2011-07-31,1787.094423076923,215.0
29,2011-08-31,1745.9159701492536,300.0
30,2011-09-30,1785.458103448276,382.5799999999999
31,2011-10-31,1728.698148148148,316.25
32,2011-11-30,1732.459090909091,215.0
33,2011-12-31,1791.8117283950617,225.0
34,2012-01-31,1810.6907352941178,291.25
35,2012-02-29,1699.9396153846153,397.75
36,2012-03-31,1636.875,402.5
37,2012-04-30,1641.7354838709678,300.0
38,2012-05-31,1637.632638888889,235.75
39,2012-06-30,1691.4536458333332,292.5
40,2012-07-31,1607.0113793103449,325.0
41,2012-08-31,1631.0417499999999,462.5
42,2012-09-30,1567.336896551724,400.0
43,2012-10-31,1532.9111764705883,450.0
44,2012-11-30,1474.2220000000002,400.0
45,2012-12-31,1509.4267567567567,165.46000000000004
46,2013-01-31,1538.0,250.0
47,2013-02-28,1487.2457142857143,150.0
