,date,mean,IQR
0,2009-04-30,2150.0,250.0
1,2009-05-31,2073.684210526316,350.0
2,2009-06-30,2106.35,325.0
3,2009-07-31,2306.540896551724,50.0
4,2009-08-31,2140.52575,400.0
5,2009-09-30,2260.359605263158,200.0
6,2009-10-31,2232.448552631579,400.0
7,2009-11-30,1967.510198019802,200.0
8,2009-12-31,2146.595681818182,400.0
9,2010-01-31,2183.6266101694914,400.0
10,2010-02-28,2067.1624074074075,575.0
11,2010-03-31,1893.8617647058825,222.5
12,2010-04-30,2064.0625,225.0
13,2010-05-31,2021.3542857142859,189.72249999999985
14,2010-06-30,1983.30884057971,550.0
15,2010-07-31,2085.9988970588233,500.0
16,2010-08-31,1993.4032098765433,146.0
17,2010-09-30,1980.4532258064517,287.5
18,2010-10-31,1765.9687654320987,500.0
19,2010-11-30,1736.800909090909,500.0
20,2010-12-31,1861.7598360655738,564.9699999999998
21,2011-01-31,1858.1522857142857,375.0
22,2011-02-28,1877.8592857142855,425.0
23,2011-03-31,1772.9845454545452,500.0
24,2011-04-30,1780.9982352941176,327.5
25,2011-05-31,1763.1603773584907,500.0
26,2011-06-30,1889.26734375,601.0
27,2011-07-31,1892.1171176470586,150.0
28,2011-08-31,1725.7705263157895,400.0
29,2011-09-30,1720.6517647058824,400.0
30,2011-10-31,1726.2676056338028,400.0
31,2011-11-30,1597.0194594594595,300.0
32,2011-12-31,1872.9616025641026,150.0
33,2012-01-31,1838.8559444444445,161.25
34,2012-02-29,1696.350119047619,435.0
35,2012-03-31,1515.3387878787878,150.0
36,2012-04-30,1565.4088235294118,600.0
37,2012-05-31,1609.9254545454544,360.0
38,2012-06-30,1733.357984496124,350.0
39,2012-07-31,1563.8450684931506,670.0
40,2012-08-31,1626.2935384615384,575.0
41,2012-09-30,1483.1040625,556.25
42,2012-10-31,1503.158222222222,500.0
43,2012-11-30,1417.9570731707317,200.0
44,2012-12-31,1443.5837777777779,214.3699999999999
45,2013-01-31,1448.4333333333334,150.0
46,2013-02-28,1471.3313559322035,458.07000000000016
47,2013-03-31,1350.9328125,200.0
48,2013-04-30,1410.4576923076922,250.0
49,2013-05-31,1331.596046511628,200.0
50,2013-06-30,1354.7037777777778,250.0
51,2013-07-31,1326.590909090909,75.0
52,2013-08-31,1327.53125,158.0
53,2013-09-30,1322.5,150.0
54,2013-10-31,1328.2436842105262,50.0
55,2013-11-30,1327.3846153846155,85.0
56,2013-12-31,1370.21,100.0
57,2014-01-31,1328.859649122807,100.0
58,2014-02-28,1379.0664864864864,135.05999999999995
59,2014-03-31,1387.0668055555554,137.07999999999993
60,2014-04-30,1385.7227450980392,106.19000000000005
61,2014-05-31,1408.6809589041097,80.0
62,2014-06-30,1422.389512195122,50.0
63,2014-07-31,1407.5045454545457,200.0
64,2014-08-31,1415.1527272727271,200.0
65,2014-09-30,1482.8035185185186,100.0
66,2014-10-31,1506.0432352941177,230.0
67,2014-11-30,1542.155172413793,300.0
68,2014-12-31,1496.6666666666667,260.0
69,2015-01-31,1612.0536363636363,400.0
70,2015-02-28,1591.8886440677966,400.0
71,2015-03-31,1581.625,400.0
72,2015-04-30,1703.6935483870968,345.0
73,2015-05-31,1716.7007142857144,600.0
74,2015-06-30,1868.9794339622642,350.0
75,2015-07-31,2048.189655172414,437.5
76,2015-08-31,2091.0822222222223,365.0
77,2015-09-30,2126.502542372881,400.0
78,2015-10-31,2182.1,550.0
79,2015-11-30,2324.0697674418607,305.0
80,2015-12-31,2396.9209615384616,840.0
81,2016-01-31,2449.482941176471,525.0
82,2016-02-29,2706.6455696202534,402.5
83,2016-03-31,2551.3138961038962,550.0
84,2016-04-30,2511.25,350.0
85,2016-05-31,2617.282786885246,200.0
86,2016-06-30,2618.362068965517,195.0
87,2016-07-31,2502.9032258064517,400.0
88,2016-08-31,2577.601923076923,221.38999999999987
89,2016-09-30,2429.017735849057,249.57999999999993
90,2016-10-31,2477.1821818181816,318.91499999999996
91,2016-11-30,2507.59921875,121.25
92,2016-12-31,2398.795818181818,245.98999999999978
93,2017-01-31,2499.1140350877195,255.44999999999982
94,2017-02-28,2557.3326829268294,300.0
95,2017-03-31,2484.335,150.0
96,2017-04-30,2446.785714285714,156.25
97,2017-05-31,2500.964561403509,60.0
98,2017-06-30,2500.0,100.0
99,2017-07-31,2475.589333333333,72.5
100,2017-08-31,2555.2746296296295,150.0
101,2017-09-30,2592.812391304348,200.0
102,2017-10-31,2592.891304347826,237.5
103,2017-11-30,2699.1285714285714,350.0
104,2017-12-31,2660.8141509433963,350.0
105,2018-01-31,2758.3783783783783,475.0
106,2018-02-28,2674.08325,392.5
107,2018-03-31,2799.742105263158,482.5
108,2018-04-30,2806.5829166666667,300.0
109,2018-05-31,3006.856714285714,253.75
110,2018-06-30,2986.983947368421,475.0
111,2018-07-31,2956.5476190476193,618.75
112,2018-08-31,3011.2244897959185,700.0
113,2018-09-30,3221.775,500.0
114,2018-10-31,3120.4166666666665,725.0
115,2018-11-30,3368.650185185185,700.0
116,2018-12-31,3376.0878048780487,850.0
117,2019-01-31,3191.097272727273,1288.75
118,2019-02-28,3655.0925925925926,500.0
119,2019-03-31,3763.6739130434785,685.0
120,2019-04-30,3828.1673913043483,536.9324999999999
121,2019-05-31,3689.3478260869565,1016.25
122,2019-06-30,3772.5897435897436,587.5
123,2019-07-31,3989.151515151515,275.0
124,2019-08-31,4052.051282051282,950.0
125,2019-09-30,4315.213,700.0
126,2019-10-31,4258.854186046512,827.5
127,2019-11-30,4357.826086956522,793.75
128,2019-12-31,4355.833333333333,875.0
129,2020-01-31,4413.806818181818,847.5
130,2020-02-29,4191.5625,575.0
131,2020-03-31,4398.807741935484,488.47999999999956
132,2020-04-30,4233.428571428572,500.0
133,2020-05-31,4027.9446875,281.25
134,2020-06-30,4093.158529411765,425.0
135,2020-07-31,4081.818181818182,350.0
136,2020-08-31,4061.904827586207,200.0
137,2020-09-30,4210.835897435898,550.0
138,2020-10-31,4071.5666666666666,237.5
139,2020-11-30,4039.3845454545453,200.0
140,2020-12-31,4160.709791666667,512.5
141,2021-01-31,4197.5,522.5
142,2021-02-28,4115.303414634146,500.0
143,2021-03-31,4109.246170212766,200.0
144,2021-04-30,4079.0571875,100.0
145,2021-05-31,4182.374242424243,175.0
146,2021-06-30,4131.122448979592,100.0
147,2021-07-31,4172.954545454545,100.0
148,2021-08-31,4083.3333333333335,25.0
149,2021-09-30,4054.5725,81.25
150,2021-10-31,4063.810810810811,100.0
151,2021-11-30,4042.2584210526315,130.0
152,2021-12-31,4038.1946000000003,93.73500000000013
153,2022-01-31,4071.4756097560976,100.0
154,2022-02-28,4076.3907017543856,100.0
155,2022-03-31,4104.215857142857,158.73250000000007
156,2022-04-30,4137.629215686275,200.0
157,2022-05-31,4112.55171875,200.0
